county_fips,year,population,youth_population,median_income,poverty_rate,pct_bachelors,pop_density
01001,2022,58761,13766,68315.0,11.373968537166974,29.558574698915095,98.8485251196474
01003,2022,233420,49396,71039.0,10.21395057049129,32.561578714181366,146.81768177509633
01005,2022,24877,5151,39712.0,24.16365383735298,11.881188118811881,28.109350423950968
01007,2022,22251,4715,50669.0,20.622960261086583,10.919937205651491,35.74630102655549
01009,2022,59077,13564,57440.0,14.173187897053033,14.741406766788348,91.60772905808889
01011,2022,10328,2175,36136.0,27.943011647254572,9.376746785913918,16.58277337572152
01013,2022,18981,4234,44429.0,21.107656015440703,13.048394391677972,24.433634253687057
01015,2022,116162,24599,54339.0,18.039163328882953,19.153437812773184,191.72126953737478
01017,2022,34612,7191,48805.0,17.87814631851329,12.733748886910062,58.01989425936294
01019,2022,25069,4726,46621.0,14.259063995457863,14.592668574205042,45.28981579841163
01021,2022,45140,10705,62471.0,14.450619923044036,13.973014472867456,65.15240958551578
01023,2022,12669,2526,43299.0,19.142284569138276,13.046840477242599,13.868955936589675
01025,2022,23058,5075,47549.0,22.360823379027636,13.768342179206993,18.618885353918703
01027,2022,14209,2910,48074.0,17.570389572981927,12.762359494678204,23.526314569459668
01029,2022,15144,3446,51553.0,12.89224195486714,16.49106302916275,27.037787557690073
01031,2022,53559,12670,62199.0,16.299584542712424,21.60794397636503,78.88086057739041
01033,2022,57270,11977,56149.0,15.87873012511691,18.043345169584914,96.58438358520827
01035,2022,11576,2368,39888.0,18.429737710613168,13.314244810307802,13.61435481765397
01037,2022,10329,1658,52279.0,11.054268231517705,10.634861473474967,15.868577635276207
01039,2022,37542,8227,48772.0,18.783075962764947,16.30808787386093,36.42834894442014
01041,2022,13205,3020,48557.0,14.858472276075998,17.195015303891562,21.68789468929894
01043,2022,88284,19672,58119.0,13.031960642653182,18.296488946684004,120.15695369376064
01045,2022,49455,11403,52813.0,17.518927640561003,19.161694422180663,88.13732706246334
01047,2022,38326,9038,37180.0,27.08211997670355,15.694273399014778,39.158589939289165
01049,2022,71680,17146,47920.0,20.221928965703174,14.149013123902035,92.2431110430498
01051,2022,87694,19063,73258.0,9.600288513554126,24.16046915440815,141.7812958759353
01053,2022,36755,8335,41153.0,21.810036891725712,12.556458897922312,38.877394733279175
01055,2022,103348,22164,52177.0,15.865653895663623,17.7198652272571,193.13592659384605
