school,conference,host,sport,season,method,n_players
Clemson,ACC,clemsontigers.com,mens-tennis,2022,devalue,9
Clemson,ACC,clemsontigers.com,mens-tennis,2023,devalue,9
Clemson,ACC,clemsontigers.com,mens-tennis,2024,devalue,9
Clemson,ACC,clemsontigers.com,mens-tennis,2025,devalue,9
Clemson,ACC,clemsontigers.com,mens-tennis,2026,devalue,9
Clemson,ACC,clemsontigers.com,womens-tennis,2022,devalue,10
Clemson,ACC,clemsontigers.com,womens-tennis,2023,devalue,10
Clemson,ACC,clemsontigers.com,womens-tennis,2024,devalue,10
Clemson,ACC,clemsontigers.com,womens-tennis,2025,devalue,10
Clemson,ACC,clemsontigers.com,womens-tennis,2026,devalue,10
Boston College,ACC,bceagles.com,mens-tennis,2022,devalue,13
Boston College,ACC,bceagles.com,mens-tennis,2023,devalue,12
Boston College,ACC,bceagles.com,mens-tennis,2024,devalue,14
Boston College,ACC,bceagles.com,mens-tennis,2025,devalue,13
Boston College,ACC,bceagles.com,mens-tennis,2026,devalue,13
Boston College,ACC,bceagles.com,womens-tennis,2022,devalue,8
Boston College,ACC,bceagles.com,womens-tennis,2023,devalue,8
Boston College,ACC,bceagles.com,womens-tennis,2024,devalue,9
Boston College,ACC,bceagles.com,womens-tennis,2025,devalue,9
Boston College,ACC,bceagles.com,womens-tennis,2026,devalue,7
Duke,ACC,goduke.com,mens-tennis,2022,devalue,12
Duke,ACC,goduke.com,mens-tennis,2023,devalue,10
Duke,ACC,goduke.com,mens-tennis,2024,devalue,10
Duke,ACC,goduke.com,mens-tennis,2025,devalue,13
Duke,ACC,goduke.com,mens-tennis,2026,devalue,8
Duke,ACC,goduke.com,womens-tennis,2022,devalue,8
Duke,ACC,goduke.com,womens-tennis,2023,devalue,9
Duke,ACC,goduke.com,womens-tennis,2024,devalue,7
Duke,ACC,goduke.com,womens-tennis,2025,devalue,8
Duke,ACC,goduke.com,womens-tennis,2026,devalue,7
California,ACC,calbears.com,mens-tennis,2022,devalue,9
California,ACC,calbears.com,mens-tennis,2023,devalue,10
California,ACC,calbears.com,mens-tennis,2024,devalue,12
California,ACC,calbears.com,mens-tennis,2025,devalue,11
California,ACC,calbears.com,mens-tennis,2026,devalue,11
California,ACC,calbears.com,womens-tennis,2022,devalue,10
California,ACC,calbears.com,womens-tennis,2023,devalue,9
California,ACC,calbears.com,womens-tennis,2024,devalue,10
California,ACC,calbears.com,womens-tennis,2025,devalue,11
California,ACC,calbears.com,womens-tennis,2026,devalue,9
Florida State,ACC,seminoles.com,mens-tennis,2022,devalue,12
Florida State,ACC,seminoles.com,mens-tennis,2023,devalue,10
Florida State,ACC,seminoles.com,mens-tennis,2024,devalue,9
Florida State,ACC,seminoles.com,mens-tennis,2025,devalue,10
Florida State,ACC,seminoles.com,mens-tennis,2026,devalue,7
Florida State,ACC,seminoles.com,womens-tennis,2022,devalue,7
Florida State,ACC,seminoles.com,womens-tennis,2023,devalue,10
Florida State,ACC,seminoles.com,womens-tennis,2024,devalue,10
Florida State,ACC,seminoles.com,womens-tennis,2025,devalue,9
Florida State,ACC,seminoles.com,womens-tennis,2026,devalue,9
Louisville,ACC,gocards.com,mens-tennis,2022,devalue,9
Louisville,ACC,gocards.com,mens-tennis,2023,devalue,9
Louisville,ACC,gocards.com,mens-tennis,2024,devalue,11
Louisville,ACC,gocards.com,mens-tennis,2025,devalue,11
Louisville,ACC,gocards.com,mens-tennis,2026,devalue,9
Louisville,ACC,gocards.com,womens-tennis,2022,devalue,10
Louisville,ACC,gocards.com,womens-tennis,2023,devalue,10
Louisville,ACC,gocards.com,womens-tennis,2024,devalue,8
Louisville,ACC,gocards.com,womens-tennis,2025,devalue,8
Louisville,ACC,gocards.com,womens-tennis,2026,devalue,9
North Carolina,ACC,goheels.com,mens-tennis,2022,devalue,10
North Carolina,ACC,goheels.com,mens-tennis,2023,devalue,12
North Carolina,ACC,goheels.com,mens-tennis,2024,devalue,11
North Carolina,ACC,goheels.com,mens-tennis,2025,devalue,10
North Carolina,ACC,goheels.com,mens-tennis,2026,devalue,11
North Carolina,ACC,goheels.com,womens-tennis,2022,devalue,11
North Carolina,ACC,goheels.com,womens-tennis,2023,devalue,10
North Carolina,ACC,goheels.com,womens-tennis,2024,devalue,11
North Carolina,ACC,goheels.com,womens-tennis,2025,devalue,10
North Carolina,ACC,goheels.com,womens-tennis,2026,devalue,11
NC State,ACC,gopack.com,mens-tennis,2022,devalue,11
NC State,ACC,gopack.com,mens-tennis,2023,devalue,7
NC State,ACC,gopack.com,mens-tennis,2024,devalue,10
NC State,ACC,gopack.com,mens-tennis,2025,devalue,9
NC State,ACC,gopack.com,mens-tennis,2026,devalue,8
NC State,ACC,gopack.com,womens-tennis,2022,devalue,8
NC State,ACC,gopack.com,womens-tennis,2023,devalue,9
NC State,ACC,gopack.com,womens-tennis,2024,devalue,8
NC State,ACC,gopack.com,womens-tennis,2025,devalue,8
NC State,ACC,gopack.com,womens-tennis,2026,devalue,9
Georgia Tech,ACC,ramblinwreck.com,mens-tennis,2022,devalue,8
Georgia Tech,ACC,ramblinwreck.com,mens-tennis,2023,devalue,8
Georgia Tech,ACC,ramblinwreck.com,mens-tennis,2024,devalue,8
Georgia Tech,ACC,ramblinwreck.com,mens-tennis,2025,devalue,8
Georgia Tech,ACC,ramblinwreck.com,mens-tennis,2026,devalue,8
Georgia Tech,ACC,ramblinwreck.com,womens-tennis,2022,devalue,8
Georgia Tech,ACC,ramblinwreck.com,womens-tennis,2023,devalue,8
Georgia Tech,ACC,ramblinwreck.com,womens-tennis,2024,devalue,8
Georgia Tech,ACC,ramblinwreck.com,womens-tennis,2025,devalue,8
Georgia Tech,ACC,ramblinwreck.com,womens-tennis,2026,devalue,8
Notre Dame,ACC,fightingirish.com,mens-tennis,2022,devalue,10
Notre Dame,ACC,fightingirish.com,mens-tennis,2023,devalue,10
Notre Dame,ACC,fightingirish.com,mens-tennis,2024,devalue,10
Notre Dame,ACC,fightingirish.com,mens-tennis,2025,devalue,10
Notre Dame,ACC,fightingirish.com,mens-tennis,2026,devalue,10
Notre Dame,ACC,fightingirish.com,womens-tennis,2022,devalue,10
Notre Dame,ACC,fightingirish.com,womens-tennis,2023,devalue,10
Notre Dame,ACC,fightingirish.com,womens-tennis,2024,devalue,10
Notre Dame,ACC,fightingirish.com,womens-tennis,2025,devalue,10
Notre Dame,ACC,fightingirish.com,womens-tennis,2026,devalue,10
SMU,ACC,smumustangs.com,mens-tennis,2022,legacy-html,17
SMU,ACC,smumustangs.com,mens-tennis,2023,legacy-html,15
SMU,ACC,smumustangs.com,mens-tennis,2024,legacy-html,18
SMU,ACC,smumustangs.com,mens-tennis,2025,legacy-html,14
SMU,ACC,smumustangs.com,mens-tennis,2026,legacy-html,11
SMU,ACC,smumustangs.com,womens-tennis,2022,legacy-html,12
SMU,ACC,smumustangs.com,womens-tennis,2023,legacy-html,9
SMU,ACC,smumustangs.com,womens-tennis,2024,legacy-html,8
SMU,ACC,smumustangs.com,womens-tennis,2025,legacy-html,8
SMU,ACC,smumustangs.com,womens-tennis,2026,legacy-html,9
Stanford,ACC,gostanford.com,mens-tennis,2022,devalue,12
Stanford,ACC,gostanford.com,mens-tennis,2023,devalue,10
Stanford,ACC,gostanford.com,mens-tennis,2024,devalue,12
Stanford,ACC,gostanford.com,mens-tennis,2025,devalue,10
Stanford,ACC,gostanford.com,mens-tennis,2026,devalue,10
Stanford,ACC,gostanford.com,womens-tennis,2022,devalue,10
Stanford,ACC,gostanford.com,womens-tennis,2023,devalue,9
Stanford,ACC,gostanford.com,womens-tennis,2024,devalue,11
Stanford,ACC,gostanford.com,womens-tennis,2025,devalue,9
Stanford,ACC,gostanford.com,womens-tennis,2026,devalue,9
Virginia Tech,ACC,hokiesports.com,mens-tennis,2022,devalue,12
Virginia Tech,ACC,hokiesports.com,mens-tennis,2023,devalue,12
Virginia Tech,ACC,hokiesports.com,mens-tennis,2024,devalue,14
Virginia Tech,ACC,hokiesports.com,mens-tennis,2025,devalue,10
Virginia Tech,ACC,hokiesports.com,mens-tennis,2026,devalue,10
Virginia Tech,ACC,hokiesports.com,womens-tennis,2022,devalue,15
Virginia Tech,ACC,hokiesports.com,womens-tennis,2023,devalue,14
Virginia Tech,ACC,hokiesports.com,womens-tennis,2024,devalue,12
Virginia Tech,ACC,hokiesports.com,womens-tennis,2025,devalue,9
Virginia Tech,ACC,hokiesports.com,womens-tennis,2026,devalue,9
Wake Forest,ACC,godeacs.com,mens-tennis,2022,devalue,16
Wake Forest,ACC,godeacs.com,mens-tennis,2023,devalue,13
Wake Forest,ACC,godeacs.com,mens-tennis,2024,devalue,16
Wake Forest,ACC,godeacs.com,mens-tennis,2025,devalue,19
Wake Forest,ACC,godeacs.com,mens-tennis,2026,devalue,9
Wake Forest,ACC,godeacs.com,womens-tennis,2022,devalue,10
Wake Forest,ACC,godeacs.com,womens-tennis,2023,devalue,9
Wake Forest,ACC,godeacs.com,womens-tennis,2024,devalue,10
Wake Forest,ACC,godeacs.com,womens-tennis,2025,devalue,9
Wake Forest,ACC,godeacs.com,womens-tennis,2026,devalue,9
Pittsburgh,ACC,pittsburghpanthers.com,mens-tennis,2022,none,0
Pittsburgh,ACC,pittsburghpanthers.com,mens-tennis,2023,none,0
Pittsburgh,ACC,pittsburghpanthers.com,mens-tennis,2024,none,0
Pittsburgh,ACC,pittsburghpanthers.com,mens-tennis,2025,none,0
Pittsburgh,ACC,pittsburghpanthers.com,mens-tennis,2026,none,0
Pittsburgh,ACC,pittsburghpanthers.com,womens-tennis,2022,devalue,7
Pittsburgh,ACC,pittsburghpanthers.com,womens-tennis,2023,devalue,7
Pittsburgh,ACC,pittsburghpanthers.com,womens-tennis,2024,devalue,7
Pittsburgh,ACC,pittsburghpanthers.com,womens-tennis,2025,devalue,7
Pittsburgh,ACC,pittsburghpanthers.com,womens-tennis,2026,devalue,7
Virginia,ACC,virginiasports.com,mens-tennis,2022,devalue,10
Virginia,ACC,virginiasports.com,mens-tennis,2023,devalue,10
Virginia,ACC,virginiasports.com,mens-tennis,2024,devalue,10
Virginia,ACC,virginiasports.com,mens-tennis,2025,devalue,10
Virginia,ACC,virginiasports.com,mens-tennis,2026,devalue,10
Virginia,ACC,virginiasports.com,womens-tennis,2022,devalue,9
Virginia,ACC,virginiasports.com,womens-tennis,2023,devalue,9
Virginia,ACC,virginiasports.com,womens-tennis,2024,devalue,9
Virginia,ACC,virginiasports.com,womens-tennis,2025,devalue,9
Virginia,ACC,virginiasports.com,womens-tennis,2026,devalue,9
Illinois,Big Ten,fightingillini.com,mens-tennis,2022,devalue,11
Illinois,Big Ten,fightingillini.com,mens-tennis,2023,devalue,11
Illinois,Big Ten,fightingillini.com,mens-tennis,2024,devalue,12
Illinois,Big Ten,fightingillini.com,mens-tennis,2025,devalue,9
Illinois,Big Ten,fightingillini.com,mens-tennis,2026,devalue,8
Illinois,Big Ten,fightingillini.com,womens-tennis,2022,devalue,8
Illinois,Big Ten,fightingillini.com,womens-tennis,2023,devalue,8
Illinois,Big Ten,fightingillini.com,womens-tennis,2024,devalue,9
Illinois,Big Ten,fightingillini.com,womens-tennis,2025,devalue,8
Illinois,Big Ten,fightingillini.com,womens-tennis,2026,devalue,10
Syracuse,ACC,cuse.com,mens-tennis,2022,none,0
Syracuse,ACC,cuse.com,mens-tennis,2023,none,0
Syracuse,ACC,cuse.com,mens-tennis,2024,none,0
Syracuse,ACC,cuse.com,mens-tennis,2025,none,0
Syracuse,ACC,cuse.com,mens-tennis,2026,none,0
Syracuse,ACC,cuse.com,womens-tennis,2022,devalue,8
Syracuse,ACC,cuse.com,womens-tennis,2023,devalue,6
Syracuse,ACC,cuse.com,womens-tennis,2024,devalue,8
Syracuse,ACC,cuse.com,womens-tennis,2025,devalue,8
Syracuse,ACC,cuse.com,womens-tennis,2026,devalue,10
Indiana,Big Ten,iuhoosiers.com,mens-tennis,2022,devalue,9
Indiana,Big Ten,iuhoosiers.com,mens-tennis,2023,devalue,13
Indiana,Big Ten,iuhoosiers.com,mens-tennis,2024,devalue,10
Indiana,Big Ten,iuhoosiers.com,mens-tennis,2025,devalue,12
Indiana,Big Ten,iuhoosiers.com,mens-tennis,2026,devalue,10
Indiana,Big Ten,iuhoosiers.com,womens-tennis,2022,devalue,7
Indiana,Big Ten,iuhoosiers.com,womens-tennis,2023,devalue,7
Indiana,Big Ten,iuhoosiers.com,womens-tennis,2024,devalue,9
Indiana,Big Ten,iuhoosiers.com,womens-tennis,2025,devalue,9
Indiana,Big Ten,iuhoosiers.com,womens-tennis,2026,devalue,10
Miami,ACC,miamihurricanes.com,mens-tennis,2022,none,0
Miami,ACC,miamihurricanes.com,mens-tennis,2023,none,0
Miami,ACC,miamihurricanes.com,mens-tennis,2024,none,0
Miami,ACC,miamihurricanes.com,mens-tennis,2025,none,0
Miami,ACC,miamihurricanes.com,mens-tennis,2026,none,0
Miami,ACC,miamihurricanes.com,womens-tennis,2022,none,0
Miami,ACC,miamihurricanes.com,womens-tennis,2023,none,0
Miami,ACC,miamihurricanes.com,womens-tennis,2024,none,0
Miami,ACC,miamihurricanes.com,womens-tennis,2025,none,0
Miami,ACC,miamihurricanes.com,womens-tennis,2026,none,0
Michigan State,Big Ten,msuspartans.com,mens-tennis,2022,devalue,12
Michigan State,Big Ten,msuspartans.com,mens-tennis,2023,devalue,10
Michigan State,Big Ten,msuspartans.com,mens-tennis,2024,devalue,11
Michigan State,Big Ten,msuspartans.com,mens-tennis,2025,devalue,10
Michigan State,Big Ten,msuspartans.com,mens-tennis,2026,devalue,4
Michigan State,Big Ten,msuspartans.com,womens-tennis,2022,devalue,10
Michigan State,Big Ten,msuspartans.com,womens-tennis,2023,devalue,13
Michigan State,Big Ten,msuspartans.com,womens-tennis,2024,devalue,10
Michigan State,Big Ten,msuspartans.com,womens-tennis,2025,devalue,10
Michigan State,Big Ten,msuspartans.com,womens-tennis,2026,devalue,9
Michigan,Big Ten,mgoblue.com,mens-tennis,2022,devalue,12
Michigan,Big Ten,mgoblue.com,mens-tennis,2023,devalue,11
Michigan,Big Ten,mgoblue.com,mens-tennis,2024,devalue,9
Michigan,Big Ten,mgoblue.com,mens-tennis,2025,devalue,10
Michigan,Big Ten,mgoblue.com,mens-tennis,2026,devalue,10
Michigan,Big Ten,mgoblue.com,womens-tennis,2022,devalue,9
Michigan,Big Ten,mgoblue.com,womens-tennis,2023,devalue,9
Michigan,Big Ten,mgoblue.com,womens-tennis,2024,devalue,9
Michigan,Big Ten,mgoblue.com,womens-tennis,2025,devalue,8
Michigan,Big Ten,mgoblue.com,womens-tennis,2026,devalue,10
Iowa,Big Ten,hawkeyesports.com,mens-tennis,2022,none,0
Iowa,Big Ten,hawkeyesports.com,mens-tennis,2023,none,0
Iowa,Big Ten,hawkeyesports.com,mens-tennis,2024,none,0
Iowa,Big Ten,hawkeyesports.com,mens-tennis,2025,none,0
Iowa,Big Ten,hawkeyesports.com,mens-tennis,2026,none,0
Iowa,Big Ten,hawkeyesports.com,womens-tennis,2022,devalue,9
Iowa,Big Ten,hawkeyesports.com,womens-tennis,2023,devalue,9
Iowa,Big Ten,hawkeyesports.com,womens-tennis,2024,devalue,9
Iowa,Big Ten,hawkeyesports.com,womens-tennis,2025,devalue,9
Iowa,Big Ten,hawkeyesports.com,womens-tennis,2026,devalue,9
Nebraska,Big Ten,huskers.com,mens-tennis,2022,devalue,10
Nebraska,Big Ten,huskers.com,mens-tennis,2023,devalue,10
Nebraska,Big Ten,huskers.com,mens-tennis,2024,devalue,10
Nebraska,Big Ten,huskers.com,mens-tennis,2025,devalue,10
Nebraska,Big Ten,huskers.com,mens-tennis,2026,devalue,10
Nebraska,Big Ten,huskers.com,womens-tennis,2022,devalue,9
Nebraska,Big Ten,huskers.com,womens-tennis,2023,devalue,9
Nebraska,Big Ten,huskers.com,womens-tennis,2024,devalue,9
Nebraska,Big Ten,huskers.com,womens-tennis,2025,devalue,9
Nebraska,Big Ten,huskers.com,womens-tennis,2026,devalue,9
Northwestern,Big Ten,nusports.com,mens-tennis,2022,devalue,11
Northwestern,Big Ten,nusports.com,mens-tennis,2023,devalue,12
Northwestern,Big Ten,nusports.com,mens-tennis,2024,devalue,10
Northwestern,Big Ten,nusports.com,mens-tennis,2025,devalue,10
Northwestern,Big Ten,nusports.com,mens-tennis,2026,devalue,12
Northwestern,Big Ten,nusports.com,womens-tennis,2022,devalue,11
Northwestern,Big Ten,nusports.com,womens-tennis,2023,devalue,8
Northwestern,Big Ten,nusports.com,womens-tennis,2024,devalue,10
Northwestern,Big Ten,nusports.com,womens-tennis,2025,devalue,10
Northwestern,Big Ten,nusports.com,womens-tennis,2026,devalue,8
Maryland,Big Ten,umterps.com,mens-tennis,2022,none,0
Maryland,Big Ten,umterps.com,mens-tennis,2023,none,0
Maryland,Big Ten,umterps.com,mens-tennis,2024,none,0
Maryland,Big Ten,umterps.com,mens-tennis,2025,none,0
Maryland,Big Ten,umterps.com,mens-tennis,2026,none,0
Maryland,Big Ten,umterps.com,womens-tennis,2022,devalue,9
Maryland,Big Ten,umterps.com,womens-tennis,2023,devalue,8
Maryland,Big Ten,umterps.com,womens-tennis,2024,devalue,10
Maryland,Big Ten,umterps.com,womens-tennis,2025,devalue,8
Maryland,Big Ten,umterps.com,womens-tennis,2026,devalue,10
Ohio State,Big Ten,ohiostatebuckeyes.com,mens-tennis,2022,devalue,10
Ohio State,Big Ten,ohiostatebuckeyes.com,mens-tennis,2023,devalue,10
Ohio State,Big Ten,ohiostatebuckeyes.com,mens-tennis,2024,devalue,13
Ohio State,Big Ten,ohiostatebuckeyes.com,mens-tennis,2025,devalue,13
Ohio State,Big Ten,ohiostatebuckeyes.com,mens-tennis,2026,devalue,11
Ohio State,Big Ten,ohiostatebuckeyes.com,womens-tennis,2022,devalue,11
Ohio State,Big Ten,ohiostatebuckeyes.com,womens-tennis,2023,devalue,12
Ohio State,Big Ten,ohiostatebuckeyes.com,womens-tennis,2024,devalue,11
Ohio State,Big Ten,ohiostatebuckeyes.com,womens-tennis,2025,devalue,10
Ohio State,Big Ten,ohiostatebuckeyes.com,womens-tennis,2026,devalue,10
Penn State,Big Ten,gopsusports.com,mens-tennis,2022,devalue,13
Penn State,Big Ten,gopsusports.com,mens-tennis,2023,devalue,11
Penn State,Big Ten,gopsusports.com,mens-tennis,2024,devalue,13
Penn State,Big Ten,gopsusports.com,mens-tennis,2025,devalue,9
Penn State,Big Ten,gopsusports.com,mens-tennis,2026,devalue,9
Penn State,Big Ten,gopsusports.com,womens-tennis,2022,devalue,11
Penn State,Big Ten,gopsusports.com,womens-tennis,2023,devalue,10
Penn State,Big Ten,gopsusports.com,womens-tennis,2024,devalue,10
Penn State,Big Ten,gopsusports.com,womens-tennis,2025,devalue,10
Penn State,Big Ten,gopsusports.com,womens-tennis,2026,devalue,10
Purdue,Big Ten,purduesports.com,mens-tennis,2022,devalue,10
Purdue,Big Ten,purduesports.com,mens-tennis,2023,devalue,7
Purdue,Big Ten,purduesports.com,mens-tennis,2024,devalue,8
Purdue,Big Ten,purduesports.com,mens-tennis,2025,devalue,8
Purdue,Big Ten,purduesports.com,mens-tennis,2026,devalue,9
Purdue,Big Ten,purduesports.com,womens-tennis,2022,devalue,7
Purdue,Big Ten,purduesports.com,womens-tennis,2023,devalue,8
Purdue,Big Ten,purduesports.com,womens-tennis,2024,devalue,6
Purdue,Big Ten,purduesports.com,womens-tennis,2025,devalue,11
Purdue,Big Ten,purduesports.com,womens-tennis,2026,devalue,9
Minnesota,Big Ten,gophersports.com,mens-tennis,2022,none,0
Minnesota,Big Ten,gophersports.com,mens-tennis,2023,none,0
Minnesota,Big Ten,gophersports.com,mens-tennis,2024,none,0
Minnesota,Big Ten,gophersports.com,mens-tennis,2025,none,0
Minnesota,Big Ten,gophersports.com,mens-tennis,2026,none,0
Minnesota,Big Ten,gophersports.com,womens-tennis,2022,devalue,9
Minnesota,Big Ten,gophersports.com,womens-tennis,2023,devalue,6
Minnesota,Big Ten,gophersports.com,womens-tennis,2024,devalue,8
Minnesota,Big Ten,gophersports.com,womens-tennis,2025,devalue,10
Minnesota,Big Ten,gophersports.com,womens-tennis,2026,devalue,9
UCLA,Big Ten,uclabruins.com,mens-tennis,2022,devalue,14
UCLA,Big Ten,uclabruins.com,mens-tennis,2023,devalue,10
UCLA,Big Ten,uclabruins.com,mens-tennis,2024,devalue,12
UCLA,Big Ten,uclabruins.com,mens-tennis,2025,devalue,11
UCLA,Big Ten,uclabruins.com,mens-tennis,2026,devalue,11
UCLA,Big Ten,uclabruins.com,womens-tennis,2022,devalue,9
UCLA,Big Ten,uclabruins.com,womens-tennis,2023,devalue,8
UCLA,Big Ten,uclabruins.com,womens-tennis,2024,devalue,9
UCLA,Big Ten,uclabruins.com,womens-tennis,2025,devalue,8
UCLA,Big Ten,uclabruins.com,womens-tennis,2026,devalue,9
USC,Big Ten,usctrojans.com,mens-tennis,2022,devalue,11
USC,Big Ten,usctrojans.com,mens-tennis,2023,devalue,9
USC,Big Ten,usctrojans.com,mens-tennis,2024,devalue,8
USC,Big Ten,usctrojans.com,mens-tennis,2025,devalue,9
USC,Big Ten,usctrojans.com,mens-tennis,2026,devalue,10
USC,Big Ten,usctrojans.com,womens-tennis,2022,devalue,11
USC,Big Ten,usctrojans.com,womens-tennis,2023,devalue,11
USC,Big Ten,usctrojans.com,womens-tennis,2024,devalue,10
USC,Big Ten,usctrojans.com,womens-tennis,2025,devalue,10
USC,Big Ten,usctrojans.com,womens-tennis,2026,devalue,8
Washington,Big Ten,gohuskies.com,mens-tennis,2022,devalue,14
Washington,Big Ten,gohuskies.com,mens-tennis,2023,devalue,7
Washington,Big Ten,gohuskies.com,mens-tennis,2024,devalue,8
Washington,Big Ten,gohuskies.com,mens-tennis,2025,devalue,9
Washington,Big Ten,gohuskies.com,mens-tennis,2026,devalue,8
Washington,Big Ten,gohuskies.com,womens-tennis,2022,devalue,11
Washington,Big Ten,gohuskies.com,womens-tennis,2023,devalue,9
Washington,Big Ten,gohuskies.com,womens-tennis,2024,devalue,9
Washington,Big Ten,gohuskies.com,womens-tennis,2025,devalue,8
Washington,Big Ten,gohuskies.com,womens-tennis,2026,devalue,10
Wisconsin,Big Ten,uwbadgers.com,mens-tennis,2022,devalue,9
Wisconsin,Big Ten,uwbadgers.com,mens-tennis,2023,devalue,8
Wisconsin,Big Ten,uwbadgers.com,mens-tennis,2024,devalue,8
Wisconsin,Big Ten,uwbadgers.com,mens-tennis,2025,devalue,9
Wisconsin,Big Ten,uwbadgers.com,mens-tennis,2026,devalue,9
Wisconsin,Big Ten,uwbadgers.com,womens-tennis,2022,devalue,10
Wisconsin,Big Ten,uwbadgers.com,womens-tennis,2023,devalue,8
Wisconsin,Big Ten,uwbadgers.com,womens-tennis,2024,devalue,9
Wisconsin,Big Ten,uwbadgers.com,womens-tennis,2025,devalue,9
Wisconsin,Big Ten,uwbadgers.com,womens-tennis,2026,devalue,9
Oregon,Big Ten,goducks.com,mens-tennis,2022,devalue,9
Oregon,Big Ten,goducks.com,mens-tennis,2023,devalue,9
Oregon,Big Ten,goducks.com,mens-tennis,2024,devalue,11
Oregon,Big Ten,goducks.com,mens-tennis,2025,devalue,10
Oregon,Big Ten,goducks.com,mens-tennis,2026,devalue,10
Oregon,Big Ten,goducks.com,womens-tennis,2022,devalue,10
Oregon,Big Ten,goducks.com,womens-tennis,2023,devalue,9
Oregon,Big Ten,goducks.com,womens-tennis,2024,devalue,8
Oregon,Big Ten,goducks.com,womens-tennis,2025,devalue,10
Oregon,Big Ten,goducks.com,womens-tennis,2026,devalue,9
Alabama,SEC,rolltide.com,mens-tennis,2022,devalue,8
Alabama,SEC,rolltide.com,mens-tennis,2023,devalue,8
Alabama,SEC,rolltide.com,mens-tennis,2024,devalue,8
Alabama,SEC,rolltide.com,mens-tennis,2025,devalue,10
Alabama,SEC,rolltide.com,mens-tennis,2026,devalue,10
Alabama,SEC,rolltide.com,womens-tennis,2022,devalue,8
Alabama,SEC,rolltide.com,womens-tennis,2023,devalue,10
Alabama,SEC,rolltide.com,womens-tennis,2024,devalue,10
Alabama,SEC,rolltide.com,womens-tennis,2025,devalue,9
Alabama,SEC,rolltide.com,womens-tennis,2026,devalue,7
Rutgers,Big Ten,scarletknights.com,mens-tennis,2022,none,0
Rutgers,Big Ten,scarletknights.com,mens-tennis,2023,none,0
Rutgers,Big Ten,scarletknights.com,mens-tennis,2024,none,0
Rutgers,Big Ten,scarletknights.com,mens-tennis,2025,none,0
Rutgers,Big Ten,scarletknights.com,mens-tennis,2026,none,0
Rutgers,Big Ten,scarletknights.com,womens-tennis,2022,devalue,8
Rutgers,Big Ten,scarletknights.com,womens-tennis,2023,devalue,8
Rutgers,Big Ten,scarletknights.com,womens-tennis,2024,devalue,10
Rutgers,Big Ten,scarletknights.com,womens-tennis,2025,devalue,8
Rutgers,Big Ten,scarletknights.com,womens-tennis,2026,devalue,10
Auburn,SEC,auburntigers.com,mens-tennis,2022,devalue,10
Auburn,SEC,auburntigers.com,mens-tennis,2023,devalue,9
Auburn,SEC,auburntigers.com,mens-tennis,2024,devalue,8
Auburn,SEC,auburntigers.com,mens-tennis,2025,devalue,9
Auburn,SEC,auburntigers.com,mens-tennis,2026,devalue,9
Auburn,SEC,auburntigers.com,womens-tennis,2022,devalue,8
Auburn,SEC,auburntigers.com,womens-tennis,2023,devalue,9
Auburn,SEC,auburntigers.com,womens-tennis,2024,devalue,9
Auburn,SEC,auburntigers.com,womens-tennis,2025,devalue,11
Auburn,SEC,auburntigers.com,womens-tennis,2026,devalue,11
Florida,SEC,floridagators.com,mens-tennis,2022,devalue,10
Florida,SEC,floridagators.com,mens-tennis,2023,devalue,9
Florida,SEC,floridagators.com,mens-tennis,2024,devalue,9
Florida,SEC,floridagators.com,mens-tennis,2025,devalue,11
Florida,SEC,floridagators.com,mens-tennis,2026,devalue,9
Florida,SEC,floridagators.com,womens-tennis,2022,devalue,9
Florida,SEC,floridagators.com,womens-tennis,2023,devalue,8
Florida,SEC,floridagators.com,womens-tennis,2024,devalue,9
Florida,SEC,floridagators.com,womens-tennis,2025,devalue,8
Florida,SEC,floridagators.com,womens-tennis,2026,devalue,8
Georgia,SEC,georgiadogs.com,mens-tennis,2022,devalue,11
Georgia,SEC,georgiadogs.com,mens-tennis,2023,devalue,9
Georgia,SEC,georgiadogs.com,mens-tennis,2024,devalue,10
Georgia,SEC,georgiadogs.com,mens-tennis,2025,devalue,14
Georgia,SEC,georgiadogs.com,mens-tennis,2026,devalue,10
Georgia,SEC,georgiadogs.com,womens-tennis,2022,devalue,9
Georgia,SEC,georgiadogs.com,womens-tennis,2023,devalue,10
Georgia,SEC,georgiadogs.com,womens-tennis,2024,devalue,10
Georgia,SEC,georgiadogs.com,womens-tennis,2025,devalue,12
Georgia,SEC,georgiadogs.com,womens-tennis,2026,devalue,11
Mississippi State,SEC,hailstate.com,mens-tennis,2022,devalue,8
Mississippi State,SEC,hailstate.com,mens-tennis,2023,devalue,9
Mississippi State,SEC,hailstate.com,mens-tennis,2024,devalue,9
Mississippi State,SEC,hailstate.com,mens-tennis,2025,devalue,10
Mississippi State,SEC,hailstate.com,mens-tennis,2026,devalue,9
Mississippi State,SEC,hailstate.com,womens-tennis,2022,devalue,8
Mississippi State,SEC,hailstate.com,womens-tennis,2023,devalue,11
Mississippi State,SEC,hailstate.com,womens-tennis,2024,devalue,8
Mississippi State,SEC,hailstate.com,womens-tennis,2025,devalue,9
Mississippi State,SEC,hailstate.com,womens-tennis,2026,devalue,9
Ole Miss,SEC,olemisssports.com,mens-tennis,2022,devalue,8
Ole Miss,SEC,olemisssports.com,mens-tennis,2023,devalue,8
