community_id,community_name,state,year,population,youth_population,median_income,poverty_rate,pct_bachelors,tennis_courts_per_100k,pop_density,d1_players,d1_rate_per_100k,acs_vintage
01001,"Autauga, AL",AL,2016,58239,13801,62660.0,13.578473784391765,28.131468672691472,17.170624495612905,97.97040987122658,0,0.0,2021
01003,"Baldwin, AL",AL,2016,227131,49026,64346.0,9.204904992581737,32.45028615173759,111.82973702400817,142.8619950272445,4,1.7610982208505221,2021
01005,"Barbour, AL",AL,2016,25259,5264,36422.0,26.47191011235955,11.153098082800778,55.42578882774457,28.540984940249125,0,0.0,2021
01007,"Bibb, AL",AL,2016,22412,4612,54277.0,16.942857142857143,11.913807062340412,8.92379082634303,36.00494802962392,0,0.0,2021
01009,"Blount, AL",AL,2016,58884,13683,52830.0,13.236630488829451,14.903609717714172,16.98254194687861,91.30845367666784,0,0.0,2021
01011,"Bullock, AL",AL,2016,10386,2303,29063.0,30.934598304400485,11.691144394358004,9.628345850182939,16.67589894270369,0,0.0,2021
01013,"Butler, AL",AL,2016,19181,4365,45236.0,18.177000529941704,14.039151225343694,67.77540274229706,24.69108785732951,0,0.0,2021
01015,"Calhoun, AL",AL,2016,116425,25411,50977.0,17.53843981146398,19.528300711411237,35.21580416577196,192.15534172869664,0,0.0,2021
01017,"Chambers, AL",AL,2016,34834,7266,47232.0,15.07132459970888,13.653939101014984,37.319859906987425,58.392031567972055,0,0.0,2021
01019,"Cherokee, AL",AL,2016,24975,4847,43475.0,14.97337073626865,12.822738121067475,32.032032032032035,45.11999479697357,0,0.0,2021
01021,"Chilton, AL",AL,2016,44857,10745,56243.0,15.723981900452488,13.5357306609026,20.06375816483492,64.74394410229246,0,0.0,2021
01023,"Choctaw, AL",AL,2016,12792,2586,38581.0,21.566293739585813,11.712099989225296,39.08692933083177,14.003605994226469,0,0.0,2021
01025,"Clarke, AL",AL,2016,23346,5178,44108.0,21.90612901822611,13.885303337635996,42.833890173905594,18.85143973773033,0,0.0,2021
01027,"Clay, AL",AL,2016,14184,3017,45163.0,16.92627952049386,13.381482596047748,35.250987027636775,23.484921236766553,0,0.0,2021
01029,"Cleburne, AL",AL,2016,15046,3443,48333.0,14.179204728640515,16.384127284780757,19.938854180513093,26.862820364038885,0,0.0,2021
01031,"Coffee, AL",AL,2016,53043,12672,59034.0,15.940366972477063,22.680640433592345,37.70525799822785,78.12090381834088,0,0.0,2021
01033,"Colbert, AL",AL,2016,56789,12042,52017.0,15.132058692752334,17.858380787323593,35.218088010001935,95.77318944334544,0,0.0,2021
01035,"Conecuh, AL",AL,2016,11778,2451,37986.0,12.968643490115884,12.452394691286786,16.98081168279844,13.851923897920566,0,0.0,2021
01037,"Coosa, AL",AL,2016,10442,1696,50013.0,11.147540983606556,11.206368646662584,0.0,16.042181011477794,0,0.0,2021
01039,"Covington, AL",AL,2016,37490,8334,46186.0,18.03933286249796,15.805609174520267,32.008535609495866,36.377891479577826,0,0.0,2021
01041,"Crenshaw, AL",AL,2016,13300,3030,43103.0,13.101071975497703,16.420644327119923,45.11278195488722,21.843922708646417,0,0.0,2021
01043,"Cullman, AL",AL,2016,87129,19683,52690.0,12.218608433035197,16.477056948962236,30.98853424233034,118.58496690661582,0,0.0,2021
01045,"Dale, AL",AL,2016,49443,11411,50052.0,16.710520820281502,18.68118788311611,28.315433934025037,88.11594099584218,0,0.0,2021
01047,"Dallas, AL",AL,2016,39162,9448,34957.0,24.305195478585503,16.113834112238308,48.51641897758031,40.0127511141899,1,2.5534957356621213,2021
01049,"DeKalb, AL",AL,2016,71554,17421,44037.0,20.572197436442178,14.432754835770204,30.746010006428712,92.08096494941942,0,0.0,2021
01051,"Elmore, AL",AL,2016,87146,19467,67597.0,10.281996188256432,24.5643675876234,17.21249397562711,140.89530424435262,0,0.0,2021
01053,"Escambia, AL",AL,2016,36879,8360,38464.0,23.486297942483738,12.548607870586409,62.36611621790179,39.00855503655565,0,0.0,2021
01055,"Etowah, AL",AL,2016,103468,22430,46984.0,16.01345537041383,18.009041043027647,49.29060192523292,193.3601816465927,1,0.9664823906908416,2021
01057,"Fayette, AL",AL,2016,16365,3492,43960.0,21.334907712385807,11.836841189772136,24.44240757714635,26.072036247538573,0,0.0,2021
01059,"Franklin, AL",AL,2016,32034,8098,43633.0,18.066961465571698,14.27301230754832,81.16376350127989,50.53008159833681,1,3.1216832115876882,2021
01061,"Geneva, AL",AL,2016,26604,5903,43581.0,23.512424956303672,13.489954289358987,30.07066606525335,46.30930311496384,0,0.0,2021
01063,"Greene, AL",AL,2016,7851,1729,28826.0,39.79578648054802,12.703288760390311,89.16061648197682,12.13403542068829,0,0.0,2021
01065,"Hale, AL",AL,2016,14819,3473,32294.0,24.912473398778054,15.787908820614469,20.24428099062015,23.011226882405005,0,0.0,2021
01067,"Henry, AL",AL,2016,17165,3593,55870.0,14.394530078570146,21.578429765612196,5.825808330905913,30.548575171029302,0,0.0,2021
01069,"Houston, AL",AL,2016,106355,24627,50222.0,17.665231319093923,22.22705583273291,58.2953316722298,183.42571737038352,0,0.0,2021
01071,"Jackson, AL",AL,2016,52548,11083,43785.0,17.612336326405046,16.10225675568167,28.545329984014618,48.745147330974056,0,0.0,2021
01073,"Jefferson, AL",AL,2016,672550,154796,58330.0,15.897475654952464,34.65632619974766,57.09612668203108,605.0614462817352,6,0.8921269794067356,2021
01075,"Lamar, AL",AL,2016,13929,3023,43324.0,16.275681188984407,9.951749095295536,14.358532557972575,23.02900242375745,0,0.0,2021
01077,"Lauderdale, AL",AL,2016,93342,18552,50000.0,13.302275734610634,25.48178540345642,57.85177090698721,139.72976776074896,1,1.0713290908701336,2021
01079,"Lawrence, AL",AL,2016,33089,7242,51712.0,15.384145783095754,15.291647023528906,30.221523769228448,47.90758146996311,0,0.0,2021
01081,"Lee, AL",AL,2016,172223,36606,57191.0,19.924843725535062,38.62099703185306,55.741683747234696,283.4736521574534,0,0.0,2021
01083,"Limestone, AL",AL,2016,101217,22713,70736.0,11.484871391505097,28.385361663780117,37.543100467312804,179.65261162505058,0,0.0,2021
01085,"Lowndes, AL",AL,2016,10334,2331,31961.0,21.482646740733458,15.10249616510947,0.0,14.431247687076254,0,0.0,2021
01087,"Macon, AL",AL,2016,19490,3374,39303.0,22.15404394576905,21.23773825663929,35.91585428424833,32.02089819523055,0,0.0,2021
01089,"Madison, AL",AL,2016,382149,83830,71153.0,10.905656118324876,44.2866987234399,67.77461147353519,476.7315949810505,2,0.5233560731547119,2021
01091,"Marengo, AL",AL,2016,19397,4401,35379.0,22.316118935837245,19.70254523152407,92.7978553384544,19.855706532309412,0,0.0,2021
01093,"Marion, AL",AL,2016,29392,6184,44551.0,17.47613117476131,12.611283027850511,20.413718018508437,39.59361049219901,0,0.0,2021
01095,"Marshall, AL",AL,2016,97179,24643,52938.0,17.676425526592805,21.390407362796875,49.39338746025376,171.74137793918828,0,0.0,2021
01097,"Mobile, AL",AL,2016,414620,97825,51169.0,17.56578624981624,23.923576423576424,54.02537263036033,337.26107758908194,0,0.0,2021
01099,"Monroe, AL",AL,2016,20115,4341,32631.0,22.168553459119497,12.886709454099664,69.59980114342531,19.61159009388019,0,0.0,2021
01101,"Montgomery, AL",AL,2016,229072,54308,52511.0,19.624380449332513,33.35781163943455,76.39519452399246,291.67955892558143,1,0.4365439687085283,2021
01103,"Morgan, AL",AL,2016,122608,28403,56128.0,14.588315397900889,22.75740845602114,53.83009265300796,211.5138121928204,0,0.0,2021
01105,"Perry, AL",AL,2016,8702,1847,27057.0,35.69258040010129,18.902877697841728,149.3909446104344,12.091653118790555,0,0.0,2021
01107,"Pickens, AL",AL,2016,19240,3682,43389.0,22.67190346083789,13.299856527977044,10.395010395010395,21.828710426953236,0,0.0,2021
01109,"Pike, AL",AL,2016,33176,6408,40106.0,23.77920672311708,27.75400793855353,48.22763443453099,49.36412589816194,0,0.0,2021
01111,"Randolph, AL",AL,2016,21984,4720,47081.0,18.221248017908778,16.22428450905315,18.19505094614265,37.86753940229094,0,0.0,2021
01113,"Russell, AL",AL,2016,58695,14089,44065.0,21.943920707131863,17.265501592157058,25.555839509327882,91.54187110679965,0,0.0,2021
01115,"St. Clair, AL",AL,2016,90412,20503,65070.0,12.054152564436343,18.49166062364032,29.86329248329868,143.1543613534525,0,0.0,2021
01117,"Shelby, AL",AL,2016,220780,51608,82592.0,6.9821424467376065,44.79188731201017,54.805688921097925,281.09049565785335,1,0.4529395778603134,2021
01119,"Sumter, AL",AL,2016,12482,2424,27099.0,31.553648068669528,19.46604458268533,64.09229290177856,13.81018027806237,0,0.0,2021
01121,"Talladega, AL",AL,2016,81850,17227,45400.0,18.631903488684483,15.930129177344282,28.100183262064753,111.08592771339424,0,0.0,2021
01123,"Tallapoosa, AL",AL,2016,41284,8599,50652.0,16.773527894465325,18.065173116089618,16.955721344830927,57.61672956255722,0,0.0,2021
01125,"Tuscaloosa, AL",AL,2016,223945,47508,57508.0,15.803990802702996,30.64438122332859,60.72919690102481,169.5463823240827,2,0.8930764250150708,2021
01127,"Walker, AL",AL,2016,65194,14619,47442.0,16.931987164436098,14.08888496979851,24.542135779366202,82.41659608358722,1,1.5338834862103876,2021
01129,"Washington, AL",AL,2016,15574,3239,44512.0,16.68285732789327,13.562921244575756,38.525748041607805,14.416966364423214,0,0.0,2021
01131,"Wilcox, AL",AL,2016,10686,2530,36385.0,27.41456877572509,10.972882303606374,0.0,12.035708412831784,0,0.0,2021
01133,"Winston, AL",AL,2016,23650,4816,46096.0,19.301035979882215,13.4579219558063,16.913319238900634,38.58087628344627,0,0.0,2021
02013,"Aleutians East Borough, AK",AK,2016,3409,482,72258.0,13.37260677466863,15.935334872979215,0.0,0.4879582105088077,0,0.0,2021
02016,"Aleutians West Census Area, AK",AK,2016,5251,635,90708.0,8.345063342047055,16.805627931214172,0.0,1.195303647189887,0,0.0,2021
02020,"Anchorage Municipality, AK",AK,2016,292545,71004,88871.0,9.14993849250727,36.77216106604867,21.19332068570647,171.37921176517457,2,0.6836555059905314,2021
02050,"Bethel Census Area, AK",AK,2016,18514,6549,57460.0,28.547836617857534,12.728179551122196,0.0,0.4555769643317736,0,0.0,2021
02060,"Bristol Bay Borough, AK",AK,2016,849,159,81563.0,3.5151515151515147,22.08398133748056,0.0,1.7615862160547109,0,0.0,2021
02063,"Chugach Census Area, AK",AK,2016,7015,1620,87868.0,4.065393518518518,30.745721271393645,28.51033499643621,0.7360816302461032,0,0.0,2021
02066,"Copper River Census Area, AK",AK,2016,2635,634,67439.0,11.378388697976328,29.756097560975608,0.0,0.1067129102777289,0,0.0,2021
02068,"Denali Borough, AK",AK,2016,2187,194,78750.0,15.710253998118532,39.43236714975845,0.0,0.17300779389432,0,0.0,2021
02070,"Dillingham Census Area, AK",AK,2016,4899,1542,62115.0,18.043254376931,19.562955254942768,0.0,0.2672085525936138,0,0.0,2021
02090,"Fairbanks North Star Borough, AK",AK,2016,97149,23383,78321.0,6.387026051070416,32.564432779616254,8.234773389329792,13.24502859810393,0,0.0,2021
02100,"Haines Borough, AK",AK,2016,2098,655,63355.0,16.747104247104247,25.64640111809923,0.0,0.8952020498334831,0,0.0,2021
02105,"Hoonah-Angoon Census Area, AK",AK,2016,2327,287,55990.0,8.8134135855546,22.344900105152472,0.0,0.3547412378380694,0,0.0,2021
02110,"Juneau City and Borough, AK",AK,2016,32240,6744,90126.0,7.207745261371137,40.062207035528104,9.305210918114144,11.922181877617916,0,0.0,2021
02122,"Kenai Peninsula Borough, AK",AK,2016,58711,13174,70609.0,11.851298272446035,27.365666941227772,13.62606666553116,3.665421572489641,0,0.0,2021
